Instance,Prufer-mean,Prufer-std,NetKeys-mean,NetKeys-std,Prim-mean,Prim-std,Kruskal-mean,Kruskal-std,GPrim-mean,GPrim-std
NIn7,10.9,$\pm$1.9,10.6,$\pm$2.5,11.9,$\pm$1,14.2,$\pm$1.8,\textbf{34.9},$\pm$0.3
NIn8,6.6,$\pm$1,10,$\pm$2,9.5,$\pm$1.2,10.5,$\pm$1.5,\textbf{25.4},$\pm$1.1
NIn9,11,$\pm$1.8,10.5,$\pm$1.5,9.5,$\pm$1.4,15.9,$\pm$2.9,\textbf{71.9},$\pm$3.2
NIn10,10.9,$\pm$2.7,9.9,$\pm$2.1,9.6,$\pm$1.6,16.6,$\pm$2.6,\textbf{68.2},$\pm$2.4
NIn11,11.6,$\pm$1.9,17,$\pm$3.6,9.9,$\pm$2.2,15.5,$\pm$2.2,\textbf{98.1},$\pm$1
NIn12,9.8,$\pm$1.8,15.6,$\pm$3.1,8.8,$\pm$3.1,15.8,$\pm$3.5,\textbf{98.6},$\pm$1.1
NIn13,2.2,$\pm$1.2,1.4,$\pm$0.49,1.7,$\pm$0.64,1.8,$\pm$0.6,\textbf{4},$\pm$0
NIn14,5,$\pm$1.8,3.7,$\pm$1,5.4,$\pm$1.5,4.6,$\pm$2,\textbf{8.7},$\pm$0.64
NIn15,3.6,$\pm$1.2,1.8,$\pm$0.75,2.8,$\pm$1.5,1.7,$\pm$0.64,\textbf{6.3},$\pm$0.46
NIn16,8.9,$\pm$1.5,5.6,$\pm$1.6,5.9,$\pm$1.1,5.4,$\pm$1.4,\textbf{23.8},$\pm$1.3
NIn17,8.3,$\pm$1.7,9.1,$\pm$3.4,4.7,$\pm$2.1,6.1,$\pm$2.7,\textbf{25.1},$\pm$3.4
NIn18,9.2,$\pm$1.7,8.1,$\pm$3.6,6.6,$\pm$2.9,6.5,$\pm$3.1,\textbf{25.9},$\pm$2.5
