Instance,Prufer-mean,NetKeys-mean,Prim-mean,Kruskal-mean,GPrim-mean
NIn7,\textbf{28.6},40.2,28.8,35.3,43.6
NIn8,23.9,\textbf{23.5},27.8,33.5,41.4
NIn9,\textbf{65.3},127.5,69.0,90.5,102.5
NIn10,\textbf{61.0},114.8,68.5,90.4,102.0
NIn11,248.0,1149.1,\textbf{190.3},359.0,257.0
NIn12,241.8,1135.3,\textbf{165.9},285.6,232.0
NIn13,\textbf{38.1},56.4,41.7,50.1,77.7
NIn14,39.8,51.2,\textbf{39.7},44.3,71.7
NIn15,122.2,155.9,\textbf{102.9},124.8,222.2
NIn16,131.0,138.5,\textbf{105.0},118.9,181.1
NIn17,635.6,1397.2,\textbf{286.7},474.6,474.5
NIn18,666.2,1429.9,\textbf{292.6},483.8,496.6
