Instance,Prufer-mean,Prufer-std,NetKeys-mean,NetKeys-std,Prim-mean,Prim-std,Kruskal-mean,Kruskal-std,GPrim-mean,GPrim-std
NIn7,6.4,1.1135528725660042,9.2,2.481934729198171,8.7,1.5524174696260025,8.2,1.2489995996796797,31.9,0.3
NIn8,2.5,0.6708203932499369,6.2,1.7776388834631178,6.4,1.8,6.1,1.7578395831246947,15.0,1.1832159566199232
NIn9,4.0,1.61245154965971,9.1,2.118962010041709,8.8,3.124099870362662,5.9,1.972308292331602,48.6,8.187795796183488
NIn10,3.1,1.445683229480096,10.2,2.6758176320519302,5.5,2.7294688127912363,5.0,2.449489742783178,40.1,3.0479501308256345
NIn11,5.4,1.4966629547095764,21.0,5.0990195135927845,6.9,2.4677925358506134,6.8,3.0919249667480613,85.1,5.752390807307862
NIn12,5.8,1.5362291495737217,20.9,4.205948168962618,7.0,1.0954451150103321,6.8,2.227105745132009,86.0,7.3484692283495345
NIn13,3.4,1.7435595774162693,2.3,0.6403124237432849,2.2,0.6,2.3,0.45825756949558405,4.0,0.0
NIn14,5.1,1.5132745950421556,5.4,1.42828568570857,5.7,0.9,5.0,1.4832396974191326,9.0,0.0
NIn15,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
NIn16,5.9,2.4677925358506134,5.3,1.004987562112089,5.2,2.821347195933177,4.2,1.0770329614269007,23.7,2.0024984394500787
NIn17,6.9,2.0223748416156684,7.3,3.5510561809129406,4.1,2.071231517720798,3.0,1.0,26.1,3.0805843601498726
NIn18,7.0,1.61245154965971,6.9,2.879236009777594,4.4,2.3748684174075834,2.7,1.268857754044952,24.0,2.280350850198276
