Instance,Prufer-mean,Prufer-std,NetKeys-mean,NetKeys-std,Prim-mean,Prim-std,Kruskal-mean,Kruskal-std,GPrim-mean,GPrim-std
NIn7,6.4,$\pm$1.1,9.2,$\pm$2.5,8.7,$\pm$1.6,8.2,$\pm$1.2,\textbf{31.9},$\pm$0.3
NIn8,2.5,$\pm$0.67,6.2,$\pm$1.8,6.4,$\pm$1.8,6.1,$\pm$1.8,\textbf{15},$\pm$1.2
NIn9,4,$\pm$1.6,9.1,$\pm$2.1,8.8,$\pm$3.1,5.9,$\pm$2,\textbf{48.6},$\pm$8.2
NIn10,3.1,$\pm$1.4,10.2,$\pm$2.7,5.5,$\pm$2.7,5,$\pm$2.4,\textbf{40.1},$\pm$3
NIn11,5.4,$\pm$1.5,21,$\pm$5.1,6.9,$\pm$2.5,6.8,$\pm$3.1,\textbf{85.1},$\pm$5.8
NIn12,5.8,$\pm$1.5,20.9,$\pm$4.2,7,$\pm$1.1,6.8,$\pm$2.2,\textbf{86},$\pm$7.3
NIn13,3.4,$\pm$1.7,2.3,$\pm$0.64,2.2,$\pm$0.6,2.3,$\pm$0.46,\textbf{4},$\pm$0
NIn14,5.1,$\pm$1.5,5.4,$\pm$1.4,5.7,$\pm$0.9,5,$\pm$1.5,\textbf{9},$\pm$0
NIn15,\textbf{1},$\pm$0,\textbf{1},$\pm$0,\textbf{1},$\pm$0,\textbf{1},$\pm$0,\textbf{1},$\pm$0
NIn16,5.9,$\pm$2.5,5.3,$\pm$1,5.2,$\pm$2.8,4.2,$\pm$1.1,\textbf{23.7},$\pm$2
NIn17,6.9,$\pm$2,7.3,$\pm$3.6,4.1,$\pm$2.1,3,$\pm$1,\textbf{26.1},$\pm$3.1
NIn18,7,$\pm$1.6,6.9,$\pm$2.9,4.4,$\pm$2.4,2.7,$\pm$1.3,\textbf{24},$\pm$2.3
