Instance,Prufer-mean,Prufer-std,NetKeys-mean,NetKeys-std,Prim-mean,Prim-std,Kruskal-mean,Kruskal-std,GPrim-mean,GPrim-std
NIn7,12.0,0.0,8.0,0.0,14.0,0.0,13.0,0.0,38.0,0.0
NIn8,9.0,0.0,10.0,0.0,10.0,0.0,8.0,0.0,26.0,0.0
NIn9,8.0,0.0,9.0,0.0,9.0,0.0,15.0,0.0,78.0,0.0
NIn10,12.0,0.0,15.0,0.0,9.0,0.0,12.0,0.0,69.0,0.0
NIn11,10.0,0.0,18.0,0.0,7.0,0.0,20.0,0.0,100.0,0.0
NIn12,9.0,0.0,13.0,0.0,13.0,0.0,21.0,0.0,87.0,0.0
NIn13,5.0,0.0,2.0,0.0,3.0,0.0,5.0,0.0,4.0,0.0
NIn14,5.0,0.0,4.0,0.0,7.0,0.0,4.0,0.0,9.0,0.0
NIn15,4.0,0.0,2.0,0.0,3.0,0.0,1.0,0.0,6.0,0.0
NIn16,10.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,22.0,0.0
NIn17,10.0,0.0,12.0,0.0,7.0,0.0,6.0,0.0,19.0,0.0
NIn18,9.0,0.0,4.0,0.0,4.0,0.0,7.0,0.0,22.0,0.0
