Instance,Prufer-mean,Prufer-std,NetKeys-mean,NetKeys-std,Prim-mean,Prim-std,Kruskal-mean,Kruskal-std,GPrim-mean,GPrim-std
NIn7,12,$\pm$0,8,$\pm$0,14,$\pm$0,13,$\pm$0,\textbf{38},$\pm$0
NIn8,9,$\pm$0,10,$\pm$0,10,$\pm$0,8,$\pm$0,\textbf{26},$\pm$0
NIn9,8,$\pm$0,9,$\pm$0,9,$\pm$0,15,$\pm$0,\textbf{78},$\pm$0
NIn10,12,$\pm$0,15,$\pm$0,9,$\pm$0,12,$\pm$0,\textbf{69},$\pm$0
NIn11,10,$\pm$0,18,$\pm$0,7,$\pm$0,20,$\pm$0,\textbf{1.00e+02},$\pm$0
NIn12,9,$\pm$0,13,$\pm$0,13,$\pm$0,21,$\pm$0,\textbf{87},$\pm$0
NIn13,\textbf{5},$\pm$0,2,$\pm$0,3,$\pm$0,\textbf{5},$\pm$0,4,$\pm$0
NIn14,5,$\pm$0,4,$\pm$0,7,$\pm$0,4,$\pm$0,\textbf{9},$\pm$0
NIn15,4,$\pm$0,2,$\pm$0,3,$\pm$0,1,$\pm$0,\textbf{6},$\pm$0
NIn16,10,$\pm$0,5,$\pm$0,5,$\pm$0,5,$\pm$0,\textbf{22},$\pm$0
NIn17,10,$\pm$0,12,$\pm$0,7,$\pm$0,6,$\pm$0,\textbf{19},$\pm$0
NIn18,9,$\pm$0,4,$\pm$0,4,$\pm$0,7,$\pm$0,\textbf{22},$\pm$0
