Instance,A-mean,A-std,B-mean,B-std,C-mean,C-std,D-mean,D-std,E-mean,E-std
NIn7,10.9,1.8681541692269406,10.6,2.4979991993593593,11.9,1.0440306508910548,14.2,1.8330302779823358,34.9,0.3
NIn8,2.2,1.1661903789690602,1.4,0.48989794855663565,1.7,0.6403124237432849,1.8,0.6000000000000001,4.0,0.0
NIn9,6.6,1.0198039027185568,10.0,2.04939015319192,9.5,1.2041594578792296,10.5,1.5,25.4,1.1135528725660042
NIn10,5.0,1.8439088914585775,3.7,1.004987562112089,5.4,1.4966629547095764,4.6,2.009975124224178,8.7,0.6403124237432849
NIn11,11.0,1.8439088914585775,10.5,1.5,9.5,1.3601470508735443,15.9,2.9137604568666933,71.9,3.176476034853718
NIn12,3.6,1.2,1.8,0.7483314773547883,2.8,1.4696938456699071,1.7,0.6403124237432849,6.3,0.45825756949558405
NIn13,10.9,2.662705391138869,9.9,2.0712315177207983,9.6,1.624807680927192,16.6,2.5768197453450252,68.2,2.4413111231467406
NIn14,8.9,1.5132745950421556,5.6,1.624807680927192,5.9,1.1357816691600546,5.4,1.3564659966250536,23.8,1.3266499161421599
NIn15,11.6,1.9078784028338913,17.0,3.605551275463989,9.9,2.211334438749598,15.5,2.202271554554524,98.1,1.0440306508910548
NIn16,8.3,1.7349351572897473,9.1,3.3600595232822887,4.7,2.147091055358389,6.1,2.6999999999999997,25.1,3.3600595232822887
NIn17,9.8,1.8330302779823362,15.6,3.0724582991474434,8.8,3.059411708155671,15.8,3.4871191548325386,98.6,1.1135528725660042
NIn18,9.2,1.6613247725836149,8.1,3.562302626111375,6.6,2.939387691339814,6.5,3.0740852297878796,25.9,2.5475478405714
