Instance,HMOEA-mean,HMOEA-std,Prufer-mean,Prufer-std,NetKeys-mean,NetKeys-std,Prim-mean,Prim-std,Kruskal-mean,Kruskal-std,GPrim-mean,GPrim-std
NIn7,0.879,$\pm$1.3e-3,0.763,$\pm$0.013,0.774,$\pm$0.029,0.765,$\pm$0.024,0.858,$\pm$0.015,\textbf{0.93},$\pm$6.2e-4
NIn8,0.854,$\pm$2.1e-3,0.716,$\pm$0.021,0.771,$\pm$0.015,0.74,$\pm$0.026,0.836,$\pm$0.024,\textbf{0.907},$\pm$5.0e-3
NIn9,0.909,$\pm$1.2e-3,0.737,$\pm$0.015,0.788,$\pm$0.02,0.733,$\pm$0.013,0.89,$\pm$0.019,\textbf{0.964},$\pm$6.4e-3
NIn10,0.91,$\pm$1.2e-3,0.75,$\pm$0.011,0.806,$\pm$0.024,0.753,$\pm$6.2e-3,0.897,$\pm$0.022,\textbf{0.967},$\pm$3.3e-4
NIn11,\textbf{0.93},$\pm$4.8e-4,0.602,$\pm$0.015,0.709,$\pm$0.025,0.609,$\pm$7.3e-3,0.764,$\pm$0.028,0.78,$\pm$0.017
NIn12,0.922,$\pm$1.3e-3,0.762,$\pm$0.011,0.797,$\pm$0.023,0.738,$\pm$8.4e-3,0.905,$\pm$0.016,\textbf{0.941},$\pm$0.021
NIn13,0.788,$\pm$6.6e-3,0.688,$\pm$0.018,0.735,$\pm$0.021,0.74,$\pm$0.014,0.765,$\pm$0.019,\textbf{0.843},$\pm$1.3e-3
NIn14,0.751,$\pm$0.019,0.649,$\pm$0.022,0.733,$\pm$0.02,0.725,$\pm$0.025,0.741,$\pm$0.015,\textbf{0.885},$\pm$5.7e-3
NIn15,0.741,$\pm$0.025,0.608,$\pm$0.038,0.621,$\pm$0.03,0.671,$\pm$0.016,0.719,$\pm$0.046,\textbf{0.899},$\pm$1.3e-3
NIn16,0.896,$\pm$2.1e-3,0.744,$\pm$0.01,0.81,$\pm$8.6e-3,0.762,$\pm$0.018,0.825,$\pm$0.016,\textbf{0.959},$\pm$9.8e-4
NIn17,\textbf{0.915},$\pm$1.6e-3,0.575,$\pm$9.9e-3,0.708,$\pm$0.032,0.604,$\pm$7.9e-3,0.7,$\pm$0.024,0.814,$\pm$0.015
NIn18,\textbf{0.914},$\pm$1.7e-3,0.556,$\pm$9.2e-3,0.706,$\pm$0.018,0.577,$\pm$0.017,0.697,$\pm$0.026,0.805,$\pm$0.011
