Instance,Prufer-mean,NetKeys-mean,Prim-mean,Kruskal-mean,GPrim-mean
NIn7,\textbf{27.4},37.7,28.6,33.9,41.8
NIn8,\textbf{22.9},23.2,28.3,31.7,40.1
NIn9,\textbf{61.1},120.0,67.2,79.6,95.4
NIn10,\textbf{57.9},110.2,69.0,80.9,97.3
NIn11,240.5,1132.5,\textbf{190.2},342.8,247.3
NIn12,242.9,1141.7,\textbf{191.2},346.4,248.1
NIn13,\textbf{35.3},53.9,40.1,44.9,76.7
NIn14,\textbf{37.3},49.8,41.7,46.1,74.1
NIn15,110.7,147.9,\textbf{103.1},122.5,225.6
NIn16,124.1,130.5,\textbf{106.6},116.2,174.1
NIn17,592.8,1365.1,\textbf{283.8},454.4,449.8
NIn18,639.6,1413.4,\textbf{289.2},469.9,471.5
