Instance,Prufer-mean,Prufer-std,NetKeys-mean,NetKeys-std,Prim-mean,Prim-std,Kruskal-mean,Kruskal-std,GPrim-mean,GPrim-std
NIn7,0.93,$\pm$0.019,0.895,$\pm$0.018,0.893,$\pm$0.028,0.911,$\pm$0.013,\textbf{0.545},$\pm$9.6e-3
NIn8,0.933,$\pm$0.022,0.904,$\pm$0.029,0.895,$\pm$0.026,0.883,$\pm$0.018,\textbf{0.735},$\pm$9.6e-3
NIn9,0.962,$\pm$0.023,0.955,$\pm$0.021,0.966,$\pm$0.017,0.964,$\pm$0.028,\textbf{0.776},$\pm$0.014
NIn10,0.974,$\pm$0.013,0.968,$\pm$0.017,0.969,$\pm$0.011,0.97,$\pm$0.026,\textbf{0.802},$\pm$0.015
NIn11,0.981,$\pm$9.7e-3,0.93,$\pm$0.024,0.988,$\pm$0.01,0.988,$\pm$0.011,\textbf{0.789},$\pm$0.012
NIn12,0.979,$\pm$8.1e-3,0.955,$\pm$0.019,0.978,$\pm$0.02,0.983,$\pm$0.012,\textbf{0.794},$\pm$0.02
NIn13,0.962,$\pm$0.037,0.966,$\pm$0.035,0.959,$\pm$0.017,0.965,$\pm$0.024,\textbf{0.939},$\pm$5.2e-3
NIn14,\textbf{0.894},$\pm$0.033,0.951,$\pm$0.021,0.916,$\pm$0.029,0.936,$\pm$0.016,0.919,$\pm$7.5e-3
NIn15,\textbf{1},$\pm$0,\textbf{1},$\pm$0,\textbf{1},$\pm$0,\textbf{1},$\pm$0,\textbf{1},$\pm$0
NIn16,\textbf{0.962},$\pm$0.015,0.971,$\pm$0.015,0.971,$\pm$0.019,0.983,$\pm$7.3e-3,0.973,$\pm$0.028
NIn17,0.979,$\pm$0.01,0.986,$\pm$0.018,0.984,$\pm$0.012,0.979,$\pm$0.018,\textbf{0.947},$\pm$0.014
NIn18,0.977,$\pm$0.012,0.981,$\pm$0.014,0.981,$\pm$0.019,0.967,$\pm$0.017,\textbf{0.95},$\pm$1.0e-2
