Instance,Prufer-mean,Prufer-std,NetKeys-mean,NetKeys-std,Prim-mean,Prim-std,Kruskal-mean,Kruskal-std,GPrim-mean,GPrim-std
NIn7,0.535,$\pm$0.038,0.652,$\pm$0.032,0.64,$\pm$0.031,0.616,$\pm$0.027,\textbf{0.871},$\pm$6.5e-3
NIn8,0.5,$\pm$0.021,0.611,$\pm$0.027,0.603,$\pm$0.028,0.638,$\pm$0.021,\textbf{0.755},$\pm$0.02
NIn9,0.493,$\pm$9.2e-3,0.678,$\pm$0.015,0.624,$\pm$0.014,0.629,$\pm$0.023,\textbf{0.87},$\pm$0.011
NIn10,0.523,$\pm$0.016,0.698,$\pm$0.019,0.646,$\pm$0.015,0.64,$\pm$0.024,\textbf{0.884},$\pm$0.018
NIn11,0.439,$\pm$0.011,0.632,$\pm$0.018,0.557,$\pm$0.013,0.557,$\pm$0.017,\textbf{0.7},$\pm$0.023
NIn12,0.435,$\pm$7.1e-3,0.617,$\pm$0.02,0.549,$\pm$0.016,0.552,$\pm$0.011,\textbf{0.707},$\pm$0.014
NIn13,0.692,$\pm$0.013,0.745,$\pm$0.024,0.762,$\pm$0.016,0.783,$\pm$0.022,\textbf{0.843},$\pm$1.3e-3
NIn14,0.67,$\pm$0.02,0.753,$\pm$0.016,0.745,$\pm$0.016,0.792,$\pm$0.019,\textbf{0.891},$\pm$1.1e-3
NIn15,inf,$\pm$nan,inf,$\pm$nan,inf,$\pm$nan,inf,$\pm$nan,inf,$\pm$nan
NIn16,0.72,$\pm$0.014,0.766,$\pm$0.021,0.766,$\pm$0.014,0.814,$\pm$0.014,\textbf{0.958},$\pm$1.3e-3
NIn17,0.535,$\pm$9.4e-3,0.609,$\pm$0.025,0.588,$\pm$0.014,0.653,$\pm$0.033,\textbf{0.815},$\pm$0.016
NIn18,0.527,$\pm$0.012,0.596,$\pm$0.027,0.585,$\pm$0.025,0.64,$\pm$0.047,\textbf{0.798},$\pm$0.017
