Instance,Prufer-mean,Prufer-std,NetKeys-mean,NetKeys-std,Prim-mean,Prim-std,Kruskal-mean,Kruskal-std,GPrim-mean,GPrim-std
NIn7,7.7,0.9,8,1.5,8.8,1.6,8.4,1.6,\textbf{34.5},0.5
NIn8,4.7,1.5,6.2,1.5,7.9,1,6.3,1.2,\textbf{22.4},1.2
NIn9,6.8,2,7.1,1.3,8.2,2.4,7.1,1.5,\textbf{72.6},2.5
NIn10,7.1,1.8,6.9,1.8,7.9,1.8,6.6,1.5,\textbf{68},4.2
NIn11,10.1,1.4,15.9,2.1,9.5,2.6,10.3,2.8,\textbf{98.2},1.1
NIn12,9.2,1.9,16.3,3.4,10.1,1.7,10.9,3.8,\textbf{98.7},0.78
NIn13,2.5,1.1,2.2,0.4,2.3,0.78,2.3,1,\textbf{4},0.0e+00
NIn14,4.9,2,5,1.5,5.9,1.4,5.3,1.1,\textbf{9.6},0.66
NIn15,3.6,1.2,1.8,0.75,2.8,1.5,1.4,0.49,\textbf{6.3},0.46
NIn16,8.9,1.5,5.6,1.6,5.9,1.1,6.7,1.2,\textbf{23.8},1.3
NIn17,9.5,2.9,9.2,2.9,5.6,1.7,3.4,1.6,\textbf{23.6},2.7
NIn18,7.9,1.7,8.8,3.1,5.2,1.1,3.6,1,\textbf{25.7},2.4
