Instance,HMOEA-mean,HMOEA-std,Prufer-mean,Prufer-std,NetKeys-mean,NetKeys-std,Prim-mean,Prim-std,Kruskal-mean,Kruskal-std,GPrim-mean,GPrim-std
NIn19,7.4,1.42828568570857,6.7,1.676305461424021,6.6,2.537715508089904,7.3,2.282542442102666,6.6,2.3323807579381204,20.5,0.9219544457292888
NIn20,5.5,1.3601470508735443,3.8,1.6613247725836149,4.0,2.4083189157584592,2.5,1.5,2.5,1.6278820596099706,4.9,1.8681541692269403
NIn21,7.0,1.7320508075688772,8.0,1.1832159566199232,5.7,1.9519221295943134,6.5,1.91049731745428,6.0,1.7320508075688772,24.3,1.9000000000000001
NIn22,5.3,1.004987562112089,5.5,1.9621416870348585,3.8,1.2489995996796797,3.7,2.2825424421026654,3.6,1.3564659966250536,14.4,1.0198039027185568
NIn23,6.9,0.9433981132056604,6.7,2.0024984394500787,5.2,1.9390719429665317,4.8,2.1354156504062622,4.0,2.3664319132398464,16.1,0.5385164807134504
NIn24,6.6,0.66332495807108,7.4,3.006659275674582,5.6,1.4966629547095764,6.3,1.5524174696260025,5.3,1.8466185312619385,20.7,1.4866068747318506
NIn24,7.2,0.7483314773547882,6.3,1.5524174696260025,4.5,1.746424919657298,7.0,1.9493588689617927,4.1,1.7578395831246945,20.8,1.4000000000000001
NIn25,5.4,1.0198039027185568,5.7,1.2688577540449522,2.9,1.5132745950421556,4.2,1.4000000000000001,2.3,0.7810249675906654,14.9,0.8306623862918076
NIn25,6.2,0.9797958971132713,6.7,2.0024984394500787,4.5,1.6278820596099706,4.6,1.9078784028338915,3.6,1.1135528725660044,17.8,1.5362291495737217
NIn26,6.3,1.1,6.5,1.2041594578792296,4.1,1.5132745950421556,5.1,1.7578395831246945,3.6,2.33238075793812,16.1,0.7
