Instance,HMOEA-mean,HMOEA-std,Prufer-mean,Prufer-std,NetKeys-mean,NetKeys-std,Prim-mean,Prim-std,Kruskal-mean,Kruskal-std,GPrim-mean,GPrim-std
NIn19,0.897,$\pm$1.8e-3,0.72,$\pm$0.015,0.797,$\pm$0.013,0.762,$\pm$0.013,0.831,$\pm$0.029,\textbf{0.957},$\pm$8.4e-4
NIn20,0.785,$\pm$0.22,0.533,$\pm$0.06,0.651,$\pm$0.075,0.59,$\pm$0.063,0.66,$\pm$0.11,\textbf{0.863},$\pm$4.6e-3
NIn21,0.896,$\pm$2.1e-3,0.744,$\pm$0.01,0.81,$\pm$8.6e-3,0.762,$\pm$0.018,0.825,$\pm$0.016,\textbf{0.959},$\pm$9.8e-4
NIn22,0.879,$\pm$2.3e-3,0.696,$\pm$0.012,0.803,$\pm$0.02,0.749,$\pm$0.014,0.83,$\pm$0.02,\textbf{0.944},$\pm$3.2e-3
NIn23,0.892,$\pm$1.3e-3,0.704,$\pm$0.015,0.799,$\pm$0.019,0.746,$\pm$0.024,0.827,$\pm$0.017,\textbf{0.95},$\pm$1.7e-3
NIn24,0.892,$\pm$3.0e-3,0.723,$\pm$0.017,0.79,$\pm$0.017,0.755,$\pm$0.015,0.831,$\pm$0.018,\textbf{0.957},$\pm$1.1e-3
NIn25,0.893,$\pm$2.4e-3,0.702,$\pm$0.017,0.775,$\pm$0.019,0.747,$\pm$9.3e-3,0.814,$\pm$0.021,\textbf{0.956},$\pm$1.3e-3
NIn26,0.865,$\pm$4.5e-3,0.699,$\pm$0.015,0.797,$\pm$0.03,0.752,$\pm$0.019,0.832,$\pm$0.016,\textbf{0.948},$\pm$1.8e-3
NIn27,0.891,$\pm$2.7e-3,0.729,$\pm$0.018,0.804,$\pm$0.017,0.756,$\pm$0.015,0.827,$\pm$0.013,\textbf{0.952},$\pm$3.4e-3
NIn28,0.877,$\pm$0.015,0.7,$\pm$0.019,0.789,$\pm$0.018,0.724,$\pm$0.015,0.822,$\pm$0.02,\textbf{0.95},$\pm$7.4e-4
