Instance,Prufer-mean,Prufer-std,NetKeys-mean,NetKeys-std,Prim-mean,Prim-std,Kruskal-mean,Kruskal-std,GPrim-mean,GPrim-std
NIn19,6.7,$\pm$1.7,6.6,$\pm$2.5,7.3,$\pm$2.3,6.6,$\pm$2.3,\textbf{20.5},$\pm$0.92
NIn20,3.8,$\pm$1.7,4,$\pm$2.4,2.5,$\pm$1.5,2.5,$\pm$1.6,\textbf{4.9},$\pm$1.9
NIn21,8,$\pm$1.2,5.7,$\pm$2,6.5,$\pm$1.9,6,$\pm$1.7,\textbf{24.3},$\pm$1.9
NIn22,5.5,$\pm$2,3.8,$\pm$1.2,3.7,$\pm$2.3,3.6,$\pm$1.4,\textbf{14.4},$\pm$1
NIn23,6.7,$\pm$2,5.2,$\pm$1.9,4.8,$\pm$2.1,4,$\pm$2.4,\textbf{16.1},$\pm$0.54
NIn24,7.4,$\pm$3,5.6,$\pm$1.5,6.3,$\pm$1.6,5.3,$\pm$1.8,\textbf{20.7},$\pm$1.5
NIn24,6.3,$\pm$1.6,4.5,$\pm$1.7,7,$\pm$1.9,4.1,$\pm$1.8,\textbf{20.8},$\pm$1.4
NIn25,5.7,$\pm$1.3,2.9,$\pm$1.5,4.2,$\pm$1.4,2.3,$\pm$0.78,\textbf{14.9},$\pm$0.83
NIn25,6.7,$\pm$2,4.5,$\pm$1.6,4.6,$\pm$1.9,3.6,$\pm$1.1,\textbf{17.8},$\pm$1.5
NIn26,6.5,$\pm$1.2,4.1,$\pm$1.5,5.1,$\pm$1.8,3.6,$\pm$2.3,\textbf{16.1},$\pm$0.7
