Instance,HMOEA-mean,Prufer-mean,NetKeys-mean,Prim-mean,Kruskal-mean,GPrim-mean
NIn19,364.9,161.9,166.5,\textbf{119.4},125.9,198.0
NIn20,124.2,75.4,\textbf{74.5},110.2,111.2,179.8
NIn21,336.9,137.1,153.0,\textbf{119.4},124.2,196.1
NIn22,273.0,128.6,134.6,\textbf{104.7},108.5,184.2
NIn23,342.1,149.6,154.3,\textbf{107.2},112.4,181.8
NIn24,368.6,153.7,168.9,\textbf{121.7},128.4,204.1
NIn24,337.6,149.2,156.3,\textbf{118.0},125.1,197.7
NIn25,322.9,142.3,154.0,\textbf{116.4},123.6,213.2
NIn25,379.5,162.3,175.2,\textbf{121.3},128.9,203.0
NIn26,400.0,180.0,179.9,\textbf{119.9},129.3,216.4
