Instance,HMOEA-mean,Prufer-mean,NetKeys-mean,Prim-mean,Kruskal-mean,GPrim-mean
NIn1,35.1,19.1,25.0,\textbf{17.2},21.8,23.9
NIn2,39.2,19.3,26.6,\textbf{17.2},21.8,24.0
NIn3,39.6,27.3,34.3,\textbf{19.8},29.8,26.1
NIn4,39.6,28.4,34.5,\textbf{19.8},30.0,26.0
NIn5,39.6,27.9,34.5,\textbf{19.8},30.5,26.2
NIn6,37.1,28.0,34.3,\textbf{19.9},30.5,25.8
NIn7,85.9,\textbf{27.9},39.5,29.7,34.5,42.2
NIn8,36.5,\textbf{22.9},24.0,28.9,32.1,40.6
NIn9,342.2,\textbf{63.0},129.3,68.2,84.4,98.8
NIn10,293.8,\textbf{59.0},114.4,70.8,81.6,98.2
NIn11,3921.3,235.8,1151.3,\textbf{195.0},338.0,249.0
NIn12,1060.3,\textbf{131.5},379.2,158.3,199.4,215.1
NIn13,117.9,\textbf{36.0},55.9,43.1,44.5,76.3
NIn14,101.3,\textbf{37.5},50.5,41.9,46.5,73.6
NIn15,365.8,110.1,154.9,\textbf{106.9},119.8,227.8
NIn16,332.6,125.8,134.4,\textbf{106.3},115.9,178.2
NIn17,4303.1,594.6,1386.9,\textbf{287.2},436.8,459.8
NIn18,4427.1,639.5,1493.7,\textbf{297.5},463.0,478.2

